cid,last_month_buy,amount,payment_type,channel,buy,class,coupons,items
55600021210,201709,279.89,0,0,8,10,0,13
55600021232,201707,203.2,1,1,2,1,0,3
55600028433,201707,642.47,0,0,6,8,0,22
55600029142,201705,116,0,0,1,1,0,2
55600029445,201706,129.48,0,0,1,3,0,3
55600033167,201708,1345.95,1,0,15,3,2,16
55600035510,201701,334.96,1,0,7,4,0,6
55600039187,201703,1130.37,1,0,31,8,5,37
55600042293,201708,980.08,1,0,2,12,1,31
55600045443,201706,91.06,1,0,3,3,2,4
55600049212,201708,524.69,1,0,17,0,0,1
55600050346,201706,1455,1,0,13,7,2,32
55600051000,201706,158,0,0,1,2,0,2
55600056290,201706,329.5,0,0,3,10,0,18
55600061261,201704,560.97,1,0,5,3,1,10
55600061780,201710,201.41,1,0,4,1,0,3
55600065005,201706,155.99,0,0,2,2,0,4
55600066132,201703,142,1,0,2,2,0,4
55600066402,201709,368.46,0,0,2,9,1,11
55600076313,201705,77,0,0,2,1,0,2
55600078045,201704,472.19,1,0,6,6,1,14
55600089274,201704,79,0,0,1,1,0,2
55600093031,201707,318.5,0,0,1,5,0,6
55600093053,201701,726.49,1,0,9,7,0,27
55600099772,201703,516.08,1,1,6,7,1,23
55600113010,201706,87.48,0,0,1,2,0,4
55600113573,201706,331.97,1,0,2,2,0,6
55600114505,201711,47.24,0,0,2,1,0,3
55600120344,201710,68.99,1,0,1,2,0,2
55600129594,201707,99,0,0,1,1,0,2
55600131346,201704,140.39,1,0,1,3,0,4
55600134792,201703,1148,1,0,7,2,0,5
55600136390,201704,367.98,1,0,8,0,0,2
55600139087,201706,120,1,0,1,0,0,1
55600140731,201702,220.49,1,0,3,5,0,11
55600142182,201709,461.24,1,1,8,0,0,2
55600144951,201703,376.98,0,0,3,0,0,1
55600151070,201703,126,1,0,5,5,0,11
55600152622,201703,114,0,0,1,3,0,3
55600157764,201709,249.96,1,0,7,6,0,16
55600157887,201707,215.99,0,0,4,0,0,0
55600159283,201708,223.99,1,0,5,2,0,3
55600160081,201704,723.37,1,0,13,3,0,16
55600161284,201705,96,0,0,1,2,0,5
55600162825,201704,506.97,1,0,4,1,0,3
55600170284,201705,408.93,0,0,5,8,0,21
55600170543,201708,79.99,0,0,4,0,0,1
55600175447,201703,117.99,0,0,1,4,0,4
55600178701,201703,831.9,0,0,10,1,0,3
55600185293,201709,117.5,1,0,1,1,0,1
55600185325,201701,232.47,0,0,1,4,0,5
55600189040,201704,348.98,0,0,5,4,0,7
55600193584,201711,564.96,1,0,4,6,2,17
55600196475,201706,57.49,0,0,1,1,0,3
55600197072,201702,438.99,0,0,2,3,0,4
55600199863,201705,232.89,0,0,1,3,0,5
55600202785,201706,391.89,0,0,3,2,0,4
55600207151,201706,96.23,0,0,3,9,0,10
55600208772,201702,588.98,1,1,9,8,2,18
55600210085,201710,55.49,0,0,4,1,0,3
55600210603,201710,264.48,1,0,4,3,1,5
55600211402,201701,117.94,1,0,3,2,0,4
55600211817,201704,99,1,0,1,0,0,0
55600211976,201701,810.46,1,1,9,1,0,5
55600213617,201703,646.04,0,0,23,2,0,9
55600216555,201708,331.55,1,0,15,1,0,2
55600221212,201704,39.99,0,0,1,0,0,0
55600228864,201706,49.98,0,0,3,2,0,4
55600229256,201706,116.75,0,0,1,2,0,3
55600233633,201706,79.98,1,0,1,1,0,2
55600234072,201702,68,0,0,1,2,0,3
55600237820,201711,243.95,1,0,1,3,0,5
55600241722,201701,74.48,0,0,5,6,0,10
55600242691,201709,240,0,1,1,4,0,6
55600247191,201701,475.92,0,0,8,4,0,10
55600256696,201706,94.98,1,0,3,1,0,3
55600262015,201705,262.99,1,0,2,2,0,5
55600268994,201701,2427.18,1,0,28,7,1,29
55600270274,201707,184.47,0,0,1,4,0,5
55600276315,201708,142,1,0,2,1,0,4
55600283526,201711,2113.53,1,0,65,3,0,27
55600296522,201706,393.22,0,0,4,1,0,2
55600303000,201709,88,0,0,1,1,0,1
55600311900,201706,1038.98,1,0,4,7,1,18
55600314677,201708,315.49,0,0,5,5,0,6
55600319382,201710,919.74,0,1,8,12,0,35
55600324670,201705,229.19,0,0,1,1,0,3
55600329787,201704,934.41,1,0,15,8,1,22
55600331023,201707,104.48,0,0,1,2,0,3
55600331203,201710,69.98,0,0,1,2,0,2
55600337562,201707,156.49,0,0,1,1,0,5
55600338707,201710,102.48,0,0,2,2,0,2
55600341396,201702,98.99,1,0,7,1,0,5
55600342397,201702,57.24,1,0,1,2,0,2
55600355731,201711,79.98,0,0,1,2,0,2
55600362975,201706,1075.05,1,0,5,2,0,9
55600364065,201704,81.48,0,0,5,2,0,3
55600365181,201701,619.96,1,0,2,3,0,6
55600366643,201707,92.73,0,0,4,5,0,7
55600374981,201707,456.93,1,0,3,5,1,14
55600381705,201701,44.49,0,0,1,2,0,2
55600386227,201707,1224.31,1,0,15,2,1,12
55600390954,201704,251,1,0,2,1,0,1
55600406307,201707,111.15,0,0,2,2,0,6
55600406400,201702,595.78,0,0,13,8,0,20
55600412643,201704,108.49,0,0,3,0,0,4
55600421935,201711,1872.35,0,0,5,9,1,29
55600423940,201711,136.96,0,0,5,3,0,7
55600424387,201709,282.43,0,0,3,4,0,9
55600426244,201701,170,1,0,3,1,0,2
55600427807,201706,133.49,0,0,1,1,0,3
55600430135,201702,1609.64,1,0,15,4,2,28
55600432872,201707,84.5,0,0,1,1,0,3
55600436414,201705,116,0,0,2,3,0,3
55600438553,201711,119.48,0,0,2,1,0,8
55600439824,201711,774.15,1,0,4,10,0,22
55600442073,201711,1119.44,1,0,4,9,0,27
55600480086,201709,304,0,0,1,4,0,5
55600480831,201711,552.74,0,1,1,4,0,6
55600481537,201706,214.43,1,0,2,5,0,10
55600484150,201707,77.97,0,0,1,3,0,4
55600488651,201708,280.49,0,1,1,6,1,8
55600490595,201711,385.93,0,0,4,2,0,4
55600491754,201711,593.52,1,1,20,1,0,14
55600502034,201706,293.55,1,0,7,4,0,11
55600502203,201708,165,0,0,1,3,0,4
55600514736,201703,1044.99,1,0,5,6,0,18
55600515726,201706,182.95,0,0,2,2,0,4
55600529882,201708,111,0,0,2,4,0,7
55600531522,201706,268.75,1,0,1,6,0,6
55600536923,201704,68.99,0,0,1,1,0,3
55600536981,201707,80,1,0,3,3,0,6
55600538341,201706,154.96,0,0,2,4,0,4
55600553515,201704,124,0,0,1,4,0,4
55600556677,201704,117.99,0,0,1,2,0,5
55600588977,201706,371.92,0,0,2,8,0,10
55600605254,201710,141.28,1,0,3,6,0,17
55600622004,201706,80.23,0,0,3,4,0,5
55600631231,201707,398.23,0,0,17,3,0,10
55600637114,201706,242,0,0,1,4,0,4
55600656577,201711,67.99,0,0,2,1,0,1
55600661854,201711,2671.25,1,0,48,11,3,109
55600664712,201704,170.95,0,0,3,1,0,2
55600676366,201706,67.48,0,0,3,3,0,10
55600682226,201704,308.21,0,0,5,0,0,0
55600702883,201707,146.99,0,0,1,0,0,1
55600705075,201706,139.98,0,0,2,3,0,4
55600715605,201707,167.48,0,0,1,4,0,5
55600725181,201711,150.49,1,1,9,4,0,9
55600742537,201707,19.99,0,0,1,1,0,2
55600794976,201706,97,0,0,1,1,0,3
55600804741,201703,134.46,0,0,6,4,0,8
55600809713,201708,277.45,0,0,1,4,0,9
55600821863,201705,94,0,0,1,2,0,4
55600826835,201703,92.97,1,0,2,2,0,5
55600869157,201704,68,0,0,1,1,0,1
55600892931,201707,727.45,1,0,4,5,0,16
55600902401,201711,200.98,0,0,1,0,0,0
55600906913,201711,557.95,0,0,5,7,0,13
55600912176,201711,51,0,0,1,2,0,3
55600912536,201705,801.42,1,0,5,0,0,0
55600915294,201707,484.16,1,0,24,7,1,45
55600921886,201705,2579.7,1,0,46,13,1,97
55600925590,201707,131.97,0,0,1,2,0,5
55600928694,201701,277.46,1,0,8,0,0,0
55600928863,201708,124.1,1,0,10,0,0,1
55600932530,201705,401.99,1,0,3,2,0,3
55600933892,201701,221.77,1,0,8,1,0,2
55600933971,201709,558.46,1,0,8,2,0,8
55600935104,201704,2151.03,1,1,19,13,3,53
55600936037,201706,104.47,0,0,1,3,0,4
55600939054,201707,24,1,0,1,5,0,6
55600948786,201708,89.98,0,0,2,3,0,4
55600950992,201711,391.03,1,0,3,11,0,31
55600951856,201704,646.55,1,0,26,4,0,19
55600952183,201709,378.2,1,0,11,0,0,1
55600956446,201705,25.99,0,0,4,1,0,4
55600969406,201708,347.57,1,0,2,6,1,7
55600970756,201704,80.08,1,0,1,1,0,4
55600972400,201704,368.42,0,0,5,10,0,17
55600974402,201706,81.47,0,0,7,4,0,16
55600976787,201704,35.99,0,0,1,2,0,5
55600978114,201707,188.97,0,0,1,2,0,3
55600979306,201701,241.47,1,0,9,1,0,5
55600980814,201709,253.98,0,0,2,4,0,4
55600989480,201701,403.95,1,0,10,2,0,9
55600991186,201710,40,1,0,1,0,0,0
55600995250,201707,59.97,0,0,1,0,0,1
