cid,month,amount,payment_type,channel,buy,class,coupons,items
55600037073,201711,83,0,0,1,1,1,1
55600125936,201711,489.93,0,0,1,4,0,7
55600193584,201711,269,1,0,1,4,1,9
55600210784,201711,182.5,0,0,1,4,0,8
55600237820,201711,48.74,1,0,1,3,1,4
55600292403,201711,431.35,0,0,1,9,0,15
55600355731,201711,59,0,0,1,1,0,1
55600421935,201711,221.23,0,0,1,7,1,22
55600423940,201711,25,0,0,1,1,0,1
55600438553,201711,73.5,0,0,1,1,1,1
55600442073,201711,240,1,0,1,1,1,3
55600480831,201711,375,0,1,1,4,0,5
55600502272,201711,415.79,1,0,1,6,1,9
55600656577,201711,29.98,0,0,1,3,0,3
55600906913,201711,19.99,0,0,1,3,0,6
55600912176,201711,25.17,0,0,1,1,1,2
55600950992,201711,560,1,0,1,1,0,3
55601045321,201711,143.24,0,0,1,6,1,8
55601085945,201711,10,1,1,1,2,0,2
55601111716,201711,98,0,0,1,1,0,4
55601137143,201711,98,0,0,1,3,0,4
55601190852,201711,42.98,1,0,1,2,0,2
55601284993,201711,99.99,0,0,1,1,0,1
55601416842,201711,59,0,0,1,2,0,2
55601456893,201711,24,0,0,1,3,0,3
55601498675,201711,49.99,1,0,1,4,0,4
55601582767,201711,187,0,0,1,2,0,2
55601592205,201711,147,0,0,1,1,0,3
55601603206,201711,531.98,1,0,1,1,0,3
55601940992,201711,101.98,0,0,1,7,0,9
55601967441,201711,256.99,0,0,1,8,0,14
55601997163,201711,57.49,1,0,1,4,0,4
55602011121,201711,192.94,0,0,1,6,0,6
55602111371,201711,43.5,0,0,1,2,1,4
55602131834,201711,116,0,0,1,3,0,4
55602306964,201711,292,0,0,1,3,0,4
55602343897,201711,98,0,0,1,1,0,2
55602344313,201711,239.73,0,1,1,5,2,10
55602345934,201711,342,1,0,1,8,0,12
55602454474,201711,279.45,1,0,1,3,0,5
55602456397,201711,201.2,1,0,1,7,1,10
55602478911,201711,54.98,1,0,1,2,1,2
55602495785,201711,54.98,1,0,1,4,0,5
55602576785,201711,182.69,1,0,1,8,0,14
55602581035,201711,81,1,0,1,2,1,4
55602588791,201711,220.98,0,0,1,3,0,4
55602630380,201711,183.97,1,0,1,2,0,4
55602661687,201711,39,1,0,1,1,1,1
55602732891,201711,264.47,1,0,1,7,2,9
55602747370,201711,23,1,0,1,5,2,10
55602967666,201711,112.99,0,0,1,2,0,3
55602993791,201711,59.98,0,0,1,2,0,3
55603049824,201711,171,1,0,1,2,1,4
55603137956,201711,42.5,0,0,1,6,0,7
55603139341,201711,444,1,0,1,2,1,4
55603198786,201711,94.98,0,0,1,4,0,6
55603273362,201711,231,1,0,1,8,1,10
55603303320,201711,79.98,1,0,1,6,1,7
55603388992,201711,59.98,0,0,1,1,0,1
55603398001,201711,94.48,0,0,1,3,1,4
55603432550,201711,49,0,0,1,2,0,3
55603525812,201711,158.62,1,0,1,4,1,6
55603526680,201711,32.98,0,0,1,4,0,7
55603551033,201711,49,0,0,1,4,0,6
55603687792,201711,99.96,0,0,3,3,0,7
55603734162,201711,225.46,1,0,2,4,2,10
55603746006,201711,43.51,1,0,1,3,1,5
55603761894,201711,43.5,0,0,1,5,1,6
55603794326,201711,29.99,0,0,1,3,0,4
55603828371,201711,73.5,0,0,1,3,1,23
55603866993,201711,33,1,0,1,10,3,12
55603895083,201711,111,1,0,1,3,0,4
55604157317,201711,151.19,1,0,1,3,0,3
55604258975,201711,68.99,0,0,1,1,0,3
55604305165,201711,345.97,0,0,1,2,0,6
55604342540,201711,33.75,1,0,1,5,1,10
55604359865,201711,19.99,1,0,1,2,0,4
55604431200,201711,227.93,1,0,1,1,1,1
55604449742,201711,102.5,1,0,1,5,1,9
55604472872,201711,98.99,0,0,1,4,0,7
55604513562,201711,78,0,0,1,3,0,4
55604518523,201711,50.99,0,0,1,5,0,6
55604524441,201711,331.99,0,0,2,6,0,8
55604647292,201711,31.49,0,0,1,1,1,1
55604660093,201711,374.85,1,0,1,5,1,7
55604707996,201711,116.5,1,0,1,3,0,4
55604781640,201711,97.5,0,0,1,2,0,2
55604908010,201711,44,1,0,1,4,1,6
55604970107,201711,245.98,1,0,1,2,0,3
55605217081,201711,49.01,1,0,1,4,1,11
55605505261,201711,49,0,0,1,1,0,1
55605580026,201711,49.98,0,0,1,4,0,10
55605677533,201711,4.49,1,0,1,5,1,7
55605784590,201711,59.24,1,0,1,1,1,1
55605793406,201711,312.61,1,0,1,3,1,5
55605803666,201711,159.34,1,0,1,3,1,3
55605818440,201711,164.98,0,0,1,1,0,2
55605901935,201711,390.97,1,0,1,5,0,9
55605975062,201711,84.96,1,0,1,3,0,4
55606047195,201711,57.48,1,0,1,5,0,9
55606099680,201711,117.75,0,0,1,2,1,5
55606126913,201711,178.88,1,0,1,2,1,5
55606372804,201711,38,0,0,1,2,0,4
55606398581,201711,162.19,1,0,1,1,1,2
55606465270,201711,51,0,0,1,3,0,3
55606531113,201711,328.97,1,0,2,7,1,9
55606592707,201711,45,0,0,1,11,0,24
55606605847,201711,198,0,0,1,3,0,3
55606607524,201711,50,1,0,1,5,0,8
55606618764,201711,214.19,1,0,1,2,1,4
55606629744,201711,96,0,0,1,1,0,1
55606667803,201711,174.6,1,0,1,3,1,3
55606668095,201711,20,0,0,1,3,0,4
55606685601,201711,119.98,0,0,1,2,0,2
55606696311,201711,44,1,0,1,2,0,3
55606731364,201711,113.99,1,0,1,2,1,5
55606745934,201711,462.21,0,0,1,4,1,7
55606766511,201711,567.45,1,0,1,14,0,35
55606797111,201711,24,0,0,1,2,0,4
55606823582,201711,123.98,1,1,1,1,0,1
55606850063,201711,286.98,1,0,1,9,2,21
55606871451,201711,139.99,0,1,1,2,0,3
55606891813,201711,26.98,0,0,1,7,1,12
55606982263,201711,169.49,0,0,1,4,1,4
55607056354,201711,427.64,1,0,1,3,1,5
55607060076,201711,388,0,0,1,4,0,4
55607088791,201711,29.99,0,0,1,2,0,2
55607090507,201711,98,0,0,1,2,0,3
55607197860,201711,335.84,1,0,2,7,1,14
55607218985,201711,221,0,0,1,2,0,2
55607291636,201711,39.98,1,0,1,7,0,9
55607431485,201711,39,0,1,1,2,0,3
55607439441,201711,225.97,1,0,1,4,1,7
55607458507,201711,158,0,0,1,2,0,2
55607591516,201711,187,0,0,1,4,0,5
55607627282,201711,26.5,1,0,1,3,0,3
55607642751,201711,393.29,1,0,1,7,0,10
55607675883,201711,207.72,0,0,1,4,1,6
55607707911,201711,204.93,0,0,1,8,2,13
55607734111,201711,94.97,1,0,1,3,0,4
55607801644,201711,232.98,0,0,1,4,1,5
55607841637,201711,89.97,1,0,1,4,0,5
55607892873,201711,117.97,1,0,1,8,0,20
55607913413,201711,379.99,1,0,1,5,0,7
55607960451,201711,119.99,0,0,1,1,0,1
55607977707,201711,212.97,1,0,1,2,0,4
55607990216,201711,98,0,0,1,2,0,3
55607993943,201711,495.47,1,0,3,7,1,15
55608030106,201711,34,0,0,1,4,0,5
55608034304,201711,19.99,1,0,1,1,0,2
55608065841,201711,169.97,1,0,1,5,0,5
55608077426,201711,82.48,1,0,1,2,0,2
55608123394,201711,34,0,0,1,1,0,1
55608224136,201711,80.24,0,0,1,3,1,8
55608255673,201711,191.69,1,0,1,5,1,6
55608266563,201711,39.73,1,0,1,2,1,2
55608284394,201711,88,0,0,1,3,1,4
55608427764,201711,73,0,0,1,2,0,3
55608579360,201711,117.5,0,0,1,6,1,11
55608727114,201711,123.96,1,0,1,6,2,9
55608757874,201711,41.24,0,0,1,10,1,14
55608765390,201711,79.98,0,0,1,2,0,2
55608775311,201711,78,1,0,1,2,1,2
55608796361,201711,36.75,0,0,1,3,1,4
55608804165,201711,159.97,0,0,1,3,0,3
55608874805,201711,52.49,0,0,1,3,1,3
55608887337,201711,156,0,0,1,2,0,2
55608959067,201711,114.99,1,0,1,10,0,12
55608969994,201711,66.96,0,0,1,7,1,9
55609019874,201711,177.3,1,0,1,3,0,3
55609141294,201711,19.99,0,0,1,1,0,1
55609163456,201711,142,0,0,1,4,0,5
55609198917,201711,77.99,0,0,1,3,0,3
55609231405,201711,157.99,0,0,2,1,0,3
55609267677,201711,341.98,0,0,1,6,0,7
55609287152,201711,189,0,0,1,3,0,4
55609294903,201711,97,0,0,1,2,0,2
55609341476,201711,402.49,0,0,1,14,1,34
55609402430,201711,98,0,0,1,1,0,2
55609405206,201711,330,0,0,1,2,0,3
55609460207,201711,58.98,0,0,1,1,0,3
55609474510,201711,77.99,0,0,1,2,0,2
55609520327,201711,130,0,0,1,5,0,5
55609542626,201711,119.99,0,0,1,3,0,3
55609677641,201711,56.97,1,0,1,2,1,2
55609759697,201711,143.99,1,0,1,10,0,12
55609845512,201711,114.97,0,0,1,3,0,8
55609860801,201711,81,0,0,1,2,0,2
55609921436,201711,129.98,1,0,1,2,0,2
55609944646,201711,247.98,0,0,1,4,0,8
55609976766,201711,53.99,0,0,1,1,1,1
55610001927,201711,119.96,1,0,1,6,2,14
55610064636,201711,149,1,1,1,4,0,10
55610157596,201711,85.99,0,0,1,4,0,4
55610368127,201711,132,0,0,1,4,0,6
55610489516,201711,405.98,1,0,1,13,4,29
55610509351,201711,10,0,0,1,1,0,1
55610510960,201711,69.99,0,0,1,1,0,1
55610547137,201711,214,0,1,1,2,1,2
55610592454,201711,75.49,0,0,1,6,1,10
55610626384,201711,66,0,0,1,3,0,3
55610626777,201711,52.99,1,0,1,2,0,3
55610638321,201711,150.98,0,0,1,1,0,2
55610696383,201711,78,0,0,1,1,0,1
55610775493,201711,19.99,0,0,1,3,0,4
55610780305,201711,254.23,0,0,3,7,1,13
55610867404,201711,187.24,0,0,1,4,0,6
55610871904,201711,218.21,1,0,1,14,1,23
55610876192,201711,49.99,0,0,1,3,0,3
55610885271,201711,117.99,0,0,1,1,0,2
55610896554,201711,72.5,1,0,1,3,0,4
55610907533,201711,46.49,0,0,1,3,1,3
55610908556,201711,137.99,0,0,1,3,0,3
55611036524,201711,117.99,0,0,1,2,0,2
55611051914,201711,204,0,0,1,2,0,4
55611054085,201711,68.99,0,0,1,2,0,2
55611124623,201711,348.98,0,0,1,4,0,7
55611127471,201711,39.99,1,0,1,2,0,4
55611266352,201711,82.99,0,0,1,3,0,3
55611273415,201711,89.6,0,0,1,5,1,7
55611281212,201711,73.5,0,0,1,1,1,1
55611313847,201711,323.42,0,0,1,16,1,28
55611399506,201711,221.97,0,0,1,5,0,5
55611423795,201711,142,0,0,1,4,0,7
55611504841,201711,19,0,0,1,2,0,3
55611505651,201711,197.47,0,0,1,3,0,4
55611509060,201711,478.67,0,0,1,2,1,5
55611513120,201711,121.49,1,0,1,3,1,5
55611530671,201711,80.24,0,0,1,3,1,3
55611576280,201711,117,0,0,1,1,0,2
55611589475,201711,55,0,0,1,4,0,5
55611597575,201711,117,0,0,1,2,0,4
55611610115,201711,152.98,1,0,1,6,1,14
55611615664,201711,49,0,0,1,1,0,2
55611718974,201711,65.16,0,0,1,5,0,5
