cid,flag_included,flag_buy
55600018227,1,0
55600021052,1,0
55600021210,0,0
55600021232,0,0
55600028433,1,0
55600029142,1,0
55600029445,0,0
55600033167,0,0
55600035510,1,0
55600037073,1,0
55600039187,0,0
55600042293,1,0
55600045443,0,0
55600047467,1,0
55600049212,1,1
55600050346,0,0
55600050887,0,0
55600051000,0,0
55600056290,1,0
55600061261,1,0
55600061780,1,0
55600065005,1,0
55600066132,0,0
55600066402,0,0
55600073501,0,0
55600076313,0,0
55600078045,0,0
55600078517,1,0
55600079035,1,0
55600088723,1,0
55600089274,1,0
55600093031,0,0
55600093053,0,0
55600099772,1,1
55600102456,1,0
55600111322,0,0
55600113010,1,0
55600113573,1,0
55600114505,1,0
55600120344,1,0
55600125936,1,0
55600129594,1,0
55600131346,0,0
55600134792,1,0
55600136390,1,0
55600139087,0,0
55600139090,0,0
55600140731,1,0
55600142182,1,0
55600142542,0,0
55600144951,1,0
55600151070,1,1
55600152622,1,0
55600154714,0,0
55600157764,1,1
55600157887,1,0
55600159283,1,0
55600160081,1,0
55600161284,1,0
55600162825,0,0
55600170284,0,0
55600170543,1,0
55600172916,1,0
55600175447,0,0
55600178701,1,0
55600185293,0,0
55600185325,0,0
55600189040,1,0
55600193584,1,1
55600195250,1,1
55600196475,1,0
55600197072,1,0
55600199863,1,0
55600202785,0,0
55600207151,0,0
55600208772,1,1
55600210085,1,0
55600210603,0,0
55600210784,1,0
55600211402,0,0
55600211817,1,0
55600211976,1,0
55600213617,1,0
55600216555,0,0
55600221212,1,0
55600228020,0,0
55600228864,0,0
55600229256,0,0
55600231181,1,0
55600233633,0,0
55600234072,1,0
55600235826,1,0
55600237820,0,0
55600241722,1,1
55600242691,1,0
55600247191,1,0
55600256696,1,0
55600257011,1,1
55600262015,1,0
55600268994,0,0
55600270274,1,0
55600276315,1,0
55600283504,1,0
55600283526,0,0
55600292403,1,0
55600296522,1,0
55600303000,1,0
55600311900,1,1
55600314677,1,0
55600319382,0,0
55600324670,1,0
55600329787,0,0
55600331023,1,0
55600331203,0,0
55600337562,0,0
55600338707,1,0
55600341396,1,0
55600342397,0,0
55600349983,1,1
