"cid","branch_amount_1","branch_amount_2","branch_amount_3","branch_amount_4","promo","days_clients","branches","promos_sent","promos_buys","prod_unit","flagret","buy_frecuency","state","county","mid","date_birth"
55600018227,0,0,192,0,19,511,1,8,0,106.88,0,511,"MN",550,1821001,01/28/72
55600021052,144.69,0,16.19,0,4,91,2,0,0,27.4,0,91,"SC",290,284301,10/06/51
55600021210,0,141.29,138.6,0,15,657,2,5,1,12.74,1,82.12,"CA",947,1679802,05/12/71
55600021232,0,0,380.18,0,24,384,3,7,2,35.49,0,96,"AR",722,1726702,07/10/63
55600028433,0,623.24,230.23,0,18,694,2,11,3,24.35,1,99.14,"MD",207,2109903,08/29/55
55600029142,0,29,87,0,8,323,2,3,0,100,0,323,"TX",786,744501,08/30/68
55600029445,0,0,129.48,0,19,554,1,10,0,119.96,0,554,"AL",352,144701,03/03/58
55600033167,0,2146.11,314.49,0,22,684,5,10,9,18.77,1,38,"NM",880,1893803,07/28/64
55600035510,0,269.98,51.5,52.48,20,341,3,5,1,19.85,1,42.62,"NH",33,961101,02/11/39
55600037073,0,0,83,0,5,516,1,2,0,100,0,516,"FL",331,411003,08/28/51
55600039187,0,630.9,1612.58,0,27,666,4,11,10,10.3,1,19.58,"NY",100,1962603,06/19/46
55600042293,0,0,980.08,0,12,302,2,2,0,17.85,1,151,"OH",454,1477903,09/14/81
55600045443,0,0,91.06,0,14,261,1,3,0,97.64,1,87,"MI",497,510402,"NA"
55600047467,0,0,117,0,15,663,1,8,0,71.83,0,663,"ME",46,1227701,01/19/84
55600049212,0,1384.36,15,0,19,493,2,9,5,15.05,1,24.65,"MI",480,287303,"NA"
55600050346,0,2864.32,60,0,23,569,3,10,7,13.42,1,35.56,"OH",441,712103,09/30/60
55600050887,0,0,88.16,312.88,4,87,3,0,0,15.46,1,17.4,"CO",802,548703,09/06/68
55600051000,0,0,158,0,12,293,1,3,0,153.2,0,293,"PA",183,607303,03/05/80
55600056290,6,0,323.5,0,24,554,4,10,2,22.85,0,184.66,"CO",815,2052901,07/23/37
55600061261,0,11.98,1055.65,0,17,312,2,5,3,17.43,1,44.57,"MA",10,525702,01/19/42
55600061780,0,217.91,147.94,0,13,405,2,3,1,27.39,0,57.85,"IL",629,246303,01/31/32
55600065005,0,0,155.99,0,16,288,1,4,0,80.08,0,144,"NY",115,973603,05/14/51
55600066132,0,0,206.77,0,6,196,1,2,1,18.95,1,65.33,"WY",827,49301,05/27/45
55600066402,0,0,368.46,0,17,666,1,5,0,31.81,0,333,"CT",64,614401,"NA"
55600073501,0,0,258,0,14,696,1,4,2,32.72,1,174,"MI",480,1922501,02/10/62
55600076313,0,0,77,0,10,343,1,4,0,100,0,171.5,"IL",603,1374701,12/24/67
55600078045,0,0,846.06,0,24,701,1,9,6,23.27,0,87.62,"MA",21,200902,09/12/58
55600078517,0,0,87.44,0,0,49,1,0,0,28.52,0,49,"FL",327,1484201,10/09/68
55600079035,0,58,62,0,3,145,2,0,0,48.84,0,72.5,"PA",171,229402,11/26/51
